NAME,TOTAL,SOURCE
Haneson Ngohebo ,39,Athena Speaks
Miriam ,6,Athena Speaks
Avila ,9,Athena Speaks
Sten St. George ,2,Athena Speaks
Orhan Strum ,17,Athena Speaks
Mr. St. George ,1,Athena Speaks
Vincent Kapelou ,17,Athena Speaks
Ravi Danisliau ,4,Athena Speaks
Danisliau ,14,Athena Speaks
Sten St George ,1,Athena Speaks
St. George ,1,Athena Speaks
Elan Carol ,3,Athena Speaks
Hagar Awelon ,6,Athena Speaks
Jeroen Karel ,5,Athena Speaks
Elan Karel ,1,Athena Speaks
Valeria Edris ,5,Athena Speaks
Celia Edris ,5,Athena Speaks
Emilio Haber ,4,Athena Speaks
KAPELOU II ,6,Athena Speaks
Ren Touvi ,5,Athena Speaks
Elan ,2,Athena Speaks
Mr. Kraft ,7,Athena Speaks
Carol ,1,Athena Speaks
Tethan ,7,Athena Speaks
Daily Pegasus ,26,Daily Pegasus
Will ,6,Daily Pegasus
Mr. Sanjorge ,6,Daily Pegasus
Histories ,1,Daily Pegasus
Julian Vann. ,1,Daily Pegasus
Julian Vann ,10,Daily Pegasus
Sarto Takings ,1,Daily Pegasus
Per ,1,Daily Pegasus
Fixes Koppolis ,2,Daily Pegasus
Pacific ,1,Daily Pegasus
Carman Adrien ,9,The Guide
Sten Sanjorge Je ,1,The Guide
Dorel Kapelou ,5,The Guide
Hipocrisy ,1,The Guide
Ministrar Nespola ,1,The Guide
Kaeplou ,4,The Guide
Andreas ,4,The Guide
Adrien Tethyn ,1,The Guide
Ingrid Barranco ,10,The Guide
Ada Campo-Corren ,1,The Guide
Torsten Trucco ,4,The Guide
Drymiau ,4,The Guide
Tomas Sartos ,1,The Guide
Ronald Gerard ,3,The Guide
Nespola Champions Added Tax Oil ,1,The Guide
Gas Development ,4,The Guide
Homeland Illumination ,65,Homeland Illumination
Petrus Gerhard ,30,Homeland Illumination
Maha Salo ,46,Homeland Illumination
Tiskele River ,2,Homeland Illumination
Part ,1,Homeland Illumination
Three ,1,Homeland Illumination
Fire Captain Federigo Accardi ,1,Homeland Illumination
Gerhard ,1,Homeland Illumination
Elodis Community Health Center ,2,Homeland Illumination
Bouro ,1,Homeland Illumination
Sten Sanjorge Sr ,3,Homeland Illumination
Abila General Hospital ,12,Homeland Illumination
Celia ,2,Homeland Illumination
Health Cesare Nespola ,16,Homeland Illumination
Health ,2,Homeland Illumination
Health Nespola ,2,Homeland Illumination
Modern Rubicon ,30,Modern Rubicon
Rome ,3,Modern Rubicon
Linda Lagos ,2,Modern Rubicon
Kronos Star ,63,Kronos Star
Updates ,35,Kronos Star
Cato Rossini ,36,Kronos Star
Marcella Trapani ,48,Kronos Star
Strikes Deal ,2,Kronos Star
Donato Petri ,5,Kronos Star
Nespola Champions Added Taxes ,3,Kronos Star
Minster Nespola ,3,Kronos Star
Disrupt Traffic Near Tiskele Bend Fields ,3,Kronos Star
Adrien Carman ,21,Kronos Star
Carmine Gurganus ,2,Kronos Star
Kronos Benefits ,2,Kronos Star
Lelio Masin ,3,Kronos Star
Tethyn ,5,Kronos Star
Health Dies Suddenly ,2,Kronos Star
Eva Thayer ,5,Kronos Star
Tethys Central University ,1,Kronos Star
Kronos Celebrate Partnership ,3,Kronos Star
Local ,3,Kronos Star
Taxes ,2,Kronos Star
Adrien Carmen ,5,Kronos Star
Carmen ,3,Kronos Star
Health Investigates ,2,Kronos Star
Tiskele Bend Gas Fields Larger Than ,3,Kronos Star
Abila Fire Captain Federigo Accardi ,1,Kronos Star
Captain Accardi ,1,Kronos Star
Block Traffic ,3,Kronos Star
Tiskele Bend Fields ,3,Kronos Star
Araullo Announces New Hospital ,3,Kronos Star
Protest Turns Violent ,2,Kronos Star
Kapelou Calls ,3,Kronos Star
Health Receives Threats ,2,Kronos Star
Grand Opening ,3,Kronos Star
Tax ,3,Kronos Star
Sanjorge Escapes Kidnapping ,3,Kronos Star
Gas Development Defeated ,3,Kronos Star
Additionally ,1,Kronos Star
Annual POK Rally Ends ,3,Kronos Star
Abila International Airport ,1,Kronos Star
Groups ,2,Central Bulletin
Kronos Industrialists ,3,Central Bulletin
Being ,2,Central Bulletin
Crowd ,2,Worldwise
Vandalize Siopa ,2,Worldwise
Said Nespola ,1,Worldwise
Ronald Gerald ,1,Worldwise
Tethys GAStech ,1,Worldwise
Went ,1,Worldwise
Hypocrisy ,1,Worldwise
Hardenings ,1,Worldwise
Centrum Sentinel ,36,Centrum Sentinel
Captain Federigo Accardi ,1,Centrum Sentinel
Road Calistermi ,1,The Continent
Richter ,3,The Continent
Tethys Counterdrug ,3,The Continent
Arise ,1,The Continent
Hundreds ,1,The Continent
Times ,1,The Continent
Kronosian ,2,The Continent
Influx ,1,The Continent
Ralf ,2,The Continent
Council ,1,The Continent
Courts ,1,The Continent
Kapalou ,2,The Continent
Karel Kapelou II ,3,The Continent
Petra Hohimae ,3,The Continent
Spokesman ,4,The Continent
Asterian ,1,The Continent
Are ,1,The Continent
Frequently ,1,The Continent
Juan Rathburn ,1,Everyday News
Loblaw Robert ,1,Everyday News
Julio Jecovic ,1,Everyday News
Kronos Jecovic ,1,Everyday News
Singapur ,3,Everyday News
Jr ,1,Everyday News
Petr Noriega ,3,The Light of Truth
Mr. Noriega ,2,The Light of Truth
Work ,1,The Light of Truth
Sanjorge Jr ,11,The Light of Truth
Osvaldo ,1,All News Today
Elodis Weekly Journal ,1,All News Today
Pondo Resses ,1,All News Today
Abila Kronos ,2,The Tulip
Gross Domestic Product ,1,The Tulip
Hyper Acidic ,1,The Tulip
Blog ,1,News Desk
Africa ,1,News Desk
Siopa ,3,News Desk
Anyhow ,1,News Desk
Kronos POK ,1,News Desk
Protest POK ,1,The Truth
Spokesman Adrien Carman ,1,The Truth
Makes ,1,The Truth
Trucco ,1,The Truth
Extra ,1,The Truth
Spokesman Rufus Drymiau ,1,The Truth
Capitol ,1,The Truth
Champions ,1,The Truth
Bachelor ,1,The Truth
Singapore WORRYING ,3,World Journal
Mahmed ,1,World Journal
Exploration ,1,World Journal
Disappeared ,1,World Journal
Drug ,1,World Journal
Always ,1,World Journal
Often ,1,World Journal
Faintness ,1,World Journal
Abila Post ,1,The Abila Post
Sara Tuno ,2,The Abila Post
Abila Airport ,2,The Abila Post
Kronos Government ,1,The Abila Post
Be ,1,The Abila Post
True ,1,The Abila Post
Lagos ,1,The Abila Post
Gas Industry ,1,News Online Today
Task ,1,News Online Today
Possible ,1,The General Post
Mr. Sanjorge Jr ,1,The General Post
Mr. Sten Sanjorge ,1,The General Post
Sanjorge Sr. ,1,The General Post
Beatriz ,1,The General Post
Claudius Morluniau ,1,The General Post
Martyr ,1,The Explainer
Trumped ,1,The Explainer
La Paz ,1,The Explainer
Carman de Adrien ,1,The Explainer
Edris ,1,The Explainer
Anterior Luis ,1,The Explainer
Emilio ,1,The Explainer
Fueler ,1,The Explainer
Background ,1,The Explainer
